window_group,scan_start,scan_end,isolation_mz,isolation_width,collision_energy
1,289,538,1032.5,25.0,50.02158273381295
1,545,792,672.5,25.0,26.172661870503596
1,799,962,312.5,25.0,20.0
2,271,521,1056.5,25.0,51.611510791366904
2,528,775,696.5,25.0,27.762589928057555
2,782,962,336.5,25.0,20.0
3,254,504,1080.5,25.0,53.201438848920866
3,511,758,720.5,25.0,29.35251798561151
3,765,962,360.5,25.0,20.0
4,237,487,1104.5,25.0,54.79136690647482
4,494,741,744.5,25.0,30.942446043165468
4,749,962,384.5,25.0,20.0
5,219,470,1128.5,25.0,56.47482014388489
5,477,724,768.5,25.0,32.53237410071942
5,732,962,408.5,25.0,20.0
6,202,453,1152.5,25.0,58.064748201438846
6,460,707,792.5,25.0,34.122302158273385
6,715,959,432.5,25.0,20.0
7,443,691,816.5,25.0,35.61870503597122
7,698,942,456.5,25.0,20.0
8,426,674,840.5,25.0,37.20863309352518
8,681,926,480.5,25.0,20.0
9,409,657,864.5,25.0,38.79856115107914
9,664,909,504.5,25.0,20.0
10,392,640,888.5,25.0,40.38848920863309
10,647,892,528.5,25.0,20.0
11,375,623,912.5,25.0,41.97841726618705
11,630,876,552.5,25.0,20.0
12,357,606,936.5,25.0,43.66187050359712
12,613,859,576.5,25.0,20.0
13,340,589,960.5,25.0,45.25179856115108
13,596,842,600.5,25.0,21.402877697841724
14,323,572,984.5,25.0,46.84172661870504
14,579,825,624.5,25.0,22.992805755395686
15,306,555,1008.5,25.0,48.431654676258994
15,562,809,648.5,25.0,24.58273381294964
